F1@10,F1@25,F1@50,Edit,Acc,Avg,Name
0,0,0,0.0,0.0,0.0,P12_webcam01_P12_scrambledegg
0,0,0,0.0,0.0,0.0,P12_webcam01_P12_tea
0,0,0,0.0,0.0,0.0,P13_cam01_P13_cereals
0,0,0,0.0,0.0,0.0,P13_cam01_P13_coffee
0,0,0,0.0,0.0,0.0,P13_cam01_P13_friedegg
0,0,0,0.0,0.0,0.0,P13_cam01_P13_milk
0,0,0,0.0,0.0,0.0,P13_cam01_P13_pancake
0,0,0,0.0,0.0,0.0,P13_cam01_P13_salat
0,0,0,0.0,0.0,0.0,P13_cam01_P13_sandwich
0,0,0,0.0,0.0,0.0,P13_cam01_P13_scrambledegg
0,0,0,0.0,0.0,0.0,P13_cam01_P13_tea
0,0,0,0.0,0.0,0.0,P13_stereo01_P13_cereals
0,0,0,0.0,0.0,0.0,P13_stereo01_P13_milk
0,0,0,0.0,0.0,0.0,P13_stereo01_P13_pancake
0,0,0,0.0,0.0,0.0,P13_stereo01_P13_scrambledegg
0,0,0,0.0,0.0,0.0,P13_stereo01_P13_tea
0,0,0,0.0,0.0,0.0,P13_webcam01_P13_cereals
0,0,0,0.0,0.0,0.0,P13_webcam01_P13_coffee
0,0,0,0.0,0.0,0.0,P13_webcam01_P13_friedegg
0,0,0,0.0,0.0,0.0,P13_webcam01_P13_milk
0,0,0,0.0,0.0,0.0,P13_webcam01_P13_pancake
0,0,0,0.0,0.0,0.0,P13_webcam01_P13_salat
0,0,0,0.0,0.0,0.0,P13_webcam01_P13_sandwich
0,0,0,0.0,0.0,0.0,P13_webcam01_P13_scrambledegg
0,0,0,0.0,0.0,0.0,P13_webcam01_P13_tea
0,0,0,0.0,0.0,0.0,P14_cam01_P14_cereals
0,0,0,0.0,0.0,0.0,P14_cam01_P14_coffee
0,0,0,0.0,0.0,0.0,P14_cam01_P14_friedegg
0,0,0,0.0,0.0,0.0,P14_cam01_P14_juice
0,0,0,0.0,0.0,0.0,P14_cam01_P14_milk
0,0,0,0.0,0.0,0.0,P14_cam01_P14_pancake
0,0,0,0.0,0.0,0.0,P14_cam01_P14_salat
0,0,0,0.0,0.0,0.0,P14_cam01_P14_sandwich
0,0,0,0.0,0.0,0.0,P14_cam01_P14_scrambledegg
0,0,0,0.0,0.0,0.0,P14_cam01_P14_tea
0,0,0,0.0,0.0,0.0,P14_stereo01_P14_cereals
0,0,0,0.0,0.0,0.0,P14_stereo01_P14_coffee
0,0,0,0.0,0.0,0.0,P14_stereo01_P14_friedegg
0,0,0,0.0,0.0,0.0,P14_stereo01_P14_juice
0,0,0,0.0,0.0,0.0,P14_stereo01_P14_milk
0,0,0,0.0,0.0,0.0,P14_stereo01_P14_salat
0,0,0,0.0,0.0,0.0,P14_stereo01_P14_sandwich
